CODE,CENTER_LAT,CENTER_LON
5102046,2.437063015027245,46.562822583706215
5102047,2.5000000000000018,47.5
5102048,2.5000000000000018,48.5
5102049,2.5000000000000018,49.5
5102050,2.5000000000000018,50.5
5102051,2.5000000000000018,51.5
5102052,2.5000000000000018,52.5
5102053,2.5000000000000018,53.5
5102054,2.5000000000000018,54.5
5102055,2.5000000000000018,55.5
5102056,2.5000000000000018,56.5
5102057,2.5000000000000018,57.5
5102058,2.5000000000000018,58.5
5102059,2.5000000000000018,59.5
5102060,2.5000000000000018,60.5
5102061,2.5000000000000018,61.5
5102062,2.5000000000000018,62.5
5102063,2.5000000000000018,63.5
5102064,2.5000000000000018,64.5
5102065,2.5000000000000018,65.5
5102066,2.5000000000000018,66.5
5102067,2.5000000000000018,67.5
5102068,2.5000000000000018,68.5
5102069,2.5000000000000018,69.5
5102070,2.5000000000000018,70.5
5102071,2.5000000000000018,71.5
5102072,2.4999737404245588,72.4999334351322
5102073,2.500171541322902,73.50011158788222
5102074,2.5000000000000018,74.5
5102075,2.5000000000000018,75.5
5102076,2.5000000000000018,76.5
5102077,2.5000000000000018,77.5
5102078,2.5000000000000018,78.5
5102079,2.5000000000000018,79.5
5102080,2.5000000000000018,80.5
5102081,2.5000000000000018,81.5
5102082,2.5000000000000018,82.5
5102083,2.5000000000000018,83.5
5102084,2.5000000000000018,84.5
5102085,2.5000000000000018,85.5
5102086,2.5000000000000018,86.5
5102087,2.5000000000000018,87.5
5102088,2.5000000000000018,88.5
5102089,2.5000000000000018,89.5
5102090,2.5000000000000018,90.5
5102091,2.5000000000000018,91.5
5102092,2.5000000000000018,92.5
5102093,2.5000000000000018,93.5
5102094,2.5000000000000018,94.5
5102095,2.4830834201314045,95.47379558234037
5102096,2.499177100806582,96.5224191636444
5102097,2.441574652737416,97.38592565481906
5102098,2.0817145267072905,98.12557368252112
5102099,2.8930002263151566,99.97900266078777
5102100,2.688848143032184,100.57583881545014
5102101,2.5644525312596085,101.36099501757577
5103046,3.1406357697348497,46.87120903843964
5103047,3.4421136871211933,47.55872980946281
5103048,3.5000000000000018,48.5
5103049,3.5000000000000018,49.5
5103050,3.5000000000000018,50.5
5103051,3.5000000000000018,51.5
5103052,3.5000000000000018,52.5
5103053,3.5000000000000018,53.5
5103054,3.5000000000000018,54.5
5103055,3.5000000000000018,55.5
5103056,3.5000000000000018,56.5
5103057,3.5000000000000018,57.5
5103058,3.5000000000000018,58.5
5103059,3.5000000000000018,59.5
5103060,3.5000000000000018,60.5
5103061,3.5000000000000018,61.5
5103062,3.5000000000000018,62.5
5103063,3.5000000000000018,63.5
5103064,3.5000000000000018,64.5
5103065,3.5000000000000018,65.5
5103066,3.5000000000000018,66.5
5103067,3.5000000000000018,67.5
5103068,3.5000000000000018,68.5
5103069,3.5000000000000018,69.5
5103070,3.5000000000000018,70.5
5103071,3.5000000000000018,71.5
5103072,3.4999854025259207,72.4999070311857
5103073,3.4999792216590264,73.50000417910732
5103074,3.5000000000000018,74.5
5103075,3.5000000000000018,75.5
5103076,3.5000000000000018,76.5
5103077,3.5000000000000018,77.5
5103078,3.5000000000000018,78.5
5103079,3.5000000000000018,79.5
5103080,3.5000000000000018,80.5
5103081,3.5000000000000018,81.5
5103082,3.5000000000000018,82.5
5103083,3.5000000000000018,83.5
5103084,3.5000000000000018,84.5
5103085,3.5000000000000018,85.5
5103086,3.5000000000000018,86.5
5103087,3.5000000000000018,87.5
5103088,3.5000000000000018,88.5
5103089,3.5000000000000018,89.5
5103090,3.5000000000000018,90.5
5103091,3.5000000000000018,91.5
5103092,3.5000000000000018,92.5
5103093,3.5000000000000018,93.5
5103094,3.5000000000000018,94.5
5103095,3.5000000000000018,95.5
5103096,3.421623804191134,96.45212750948407
5103097,3.174688865052373,97.12463635871747
5103098,3.8655096589438025,98.84170256226051
5103099,3.629082652998606,99.58866657224128
5103100,3.4727805970149515,100.47238303392753
5103101,3.2325727029137283,101.13170860153495
5104047,4.171047718144323,47.847258584674336
5104048,4.476451331675278,48.52836677789788
5104049,4.500000000000002,49.5
5104050,4.500000000000002,50.5
5104051,4.500000000000002,51.5
5104052,4.500000000000002,52.5
5104053,4.500000000000002,53.5
5104054,4.500000000000002,54.5
5104055,4.500000000000002,55.5
5104056,4.500000000000002,56.5
5104057,4.500000000000002,57.5
5104058,4.500000000000002,58.5
5104059,4.500000000000002,59.5
5104060,4.500000000000002,60.5
5104061,4.500000000000002,61.5
5104062,4.500000000000002,62.5
5104063,4.500000000000002,63.5
5104064,4.500000000000002,64.5
5104065,4.500000000000002,65.5
5104066,4.500000000000002,66.5
5104067,4.500000000000002,67.5
5104068,4.500000000000002,68.5
5104069,4.500000000000002,69.5
5104070,4.500000000000002,70.5
5104071,4.500000000000002,71.5
5104072,4.499943980347188,72.49987658038935
5104073,4.499995108509825,73.50000112217965
5104074,4.500000000000002,74.5
5104075,4.500000000000002,75.5
5104076,4.500000000000002,76.5
5104077,4.500000000000002,77.5
5104078,4.500000000000002,78.5
5104079,4.500000000000002,79.5
5104080,4.500000000000002,80.5
5104081,4.500000000000002,81.5
5104082,4.500000000000002,82.5
5104083,4.500000000000002,83.5
5104084,4.500000000000002,84.5
5104085,4.500000000000002,85.5
5104086,4.500000000000002,86.5
5104087,4.500000000000002,87.5
5104088,4.500000000000002,88.5
5104089,4.500000000000002,89.5
5104090,4.500000000000002,90.5
5104091,4.500000000000002,91.5
5104092,4.500000000000002,92.5
5104093,4.500000000000002,93.5
5104094,4.500000000000002,94.5
5104095,4.405694962066377,95.39682445395353
5104096,4.079967476769591,96.10177921863762
5104097,4.896071183569046,97.93547931994085
5104098,4.550981706198026,98.56551879100036
5104099,4.500000000000002,99.5
5104100,4.4657555551601185,100.30137570627804
5105048,5.342757671301913,48.76427966626066
5105049,5.500000000000002,49.5
5105050,5.500000000000002,50.5
5105051,5.500000000000002,51.5
5105052,5.500000000000002,52.5
5105053,5.500000000000002,53.5
5105054,5.500000000000002,54.5
5105055,5.500000000000002,55.5
5105056,5.500000000000002,56.5
5105057,5.500000000000002,57.5
5105058,5.500000000000002,58.5
5105059,5.500000000000002,59.5
5105060,5.500000000000002,60.5
5105061,5.500000000000002,61.5
5105062,5.500000000000002,62.5
5105063,5.500000000000002,63.5
5105064,5.500000000000002,64.5
5105065,5.500000000000002,65.5
